ダウンロードした時刻：2026/04/27 09:25:22

,大牟田,大牟田,大牟田,大牟田,大牟田,大牟田,大牟田,大牟田,大牟田
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2026/2/15,12.9,8,1,19.1,8,1,7.4,8,1
2026/2/16,9.0,8,1,13.6,8,1,4.4,8,1
2026/2/17,9.3,8,1,14.3,8,1,3.4,8,1
2026/2/18,6.6,8,1,12.6,8,1,1.0,8,1
2026/2/19,7.5,8,1,13.7,8,1,1.3,8,1
2026/2/20,9.4,8,1,15.8,8,1,5.6,8,1
2026/2/21,9.9,8,1,18.6,8,1,2.6,8,1
2026/2/22,14.8,8,1,22.2,8,1,6.2,8,1
2026/2/23,11.6,8,1,17.5,8,1,4.8,8,1
2026/2/24,8.8,8,1,15.1,8,1,2.8,8,1
2026/2/25,12.2,8,1,16.9,8,1,9.5,8,1
2026/2/26,14.4,8,1,20.5,8,1,6.5,8,1
2026/2/27,12.9,8,1,14.2,8,1,11.7,8,1
2026/2/28,12.3,8,1,16.6,8,1,8.3,8,1
2026/3/1,11.2,8,1,18.6,8,1,3.8,8,1
2026/3/2,11.2,8,1,12.5,8,1,10.0,8,1
2026/3/3,11.4,8,1,14.6,8,1,9.5,8,1
2026/3/4,10.6,8,1,15.9,8,1,6.0,8,1
2026/3/5,9.5,8,1,17.5,8,1,2.8,8,1
2026/3/6,10.0,8,1,14.8,8,1,5.2,8,1
2026/3/7,6.4,8,1,11.5,8,1,1.0,8,1
2026/3/8,5.6,8,1,12.1,8,1,-1.1,8,1
2026/3/9,6.9,8,1,14.4,8,1,1.0,8,1
2026/3/10,7.5,8,1,13.3,8,1,1.5,8,1
2026/3/11,6.9,8,1,15.1,8,1,-1.4,8,1
2026/3/12,8.5,8,1,15.7,8,1,1.4,8,1
2026/3/13,7.2,8,1,11.9,8,1,3.7,8,1
2026/3/14,9.1,8,1,16.1,8,1,2.8,8,1
2026/3/15,10.2,8,1,17.6,8,1,3.8,8,1
2026/3/16,10.6,8,1,17.9,8,1,3.3,8,1
2026/3/17,10.7,8,1,19.7,8,1,3.2,8,1
2026/3/18,11.0,8,1,16.0,8,1,5.1,8,1
2026/3/19,13.1,8,1,18.3,8,1,8.2,8,1
2026/3/20,10.9,8,1,18.2,8,1,3.5,8,1
2026/3/21,11.0,8,1,19.6,8,1,2.7,8,1
2026/3/22,12.0,8,1,18.1,8,1,5.8,8,1
2026/3/23,14.6,8,1,21.2,8,1,8.6,8,1
2026/3/24,13.8,8,1,22.0,8,1,5.4,8,1
2026/3/25,12.2,8,1,13.8,8,1,10.9,8,1
2026/3/26,14.2,8,1,21.0,8,1,8.2,8,1
2026/3/27,13.1,8,1,22.2,8,1,5.4,8,1
2026/3/28,14.6,8,1,22.1,8,1,7.5,8,1
2026/3/29,14.7,8,1,23.7,8,1,8.5,8,1
2026/3/30,15.0,8,1,23.8,8,1,8.1,8,1
2026/3/31,16.9,8,1,19.9,8,1,12.2,8,1
2026/4/1,12.4,8,1,14.5,8,1,11.0,8,1
2026/4/2,13.7,8,1,20.5,8,1,8.0,8,1
2026/4/3,15.0,8,1,21.4,8,1,8.3,8,1
2026/4/4,16.5,8,1,21.4,8,1,14.2,8,1
2026/4/5,15.7,8,1,22.0,8,1,10.3,8,1
2026/4/6,16.4,8,1,22.7,8,1,9.7,8,1
2026/4/7,14.2,8,1,18.6,8,1,5.9,8,1
2026/4/8,11.2,8,1,20.7,8,1,1.4,8,1
2026/4/9,14.4,8,1,18.4,8,1,9.3,8,1
2026/4/10,18.9,8,1,21.6,8,1,12.9,8,1
2026/4/11,16.6,8,1,22.9,8,1,12.2,8,1
2026/4/12,17.4,8,1,23.6,8,1,12.6,8,1
2026/4/13,17.5,8,1,21.3,8,1,13.8,8,1
2026/4/14,17.4,8,1,19.5,8,1,16.5,8,1
2026/4/15,16.7,8,1,19.0,8,1,13.9,8,1
2026/4/16,18.2,8,1,25.3,8,1,11.7,8,1
2026/4/17,17.7,8,1,23.5,8,1,10.7,8,1
2026/4/18,18.3,8,1,22.3,8,1,16.2,8,1
2026/4/19,17.8,8,1,20.4,8,1,16.5,8,1
2026/4/20,19.1,8,1,24.5,8,1,14.8,8,1
2026/4/21,18.4,8,1,24.8,8,1,11.0,8,1
2026/4/22,15.7,8,1,20.6,8,1,11.5,8,1
2026/4/23,13.7,8,1,20.6,8,1,11.5,8,1
2026/4/24,15.7,8,1,20.6,8,1,11.5,8,1
2026/4/25,17.7,8,1,20.6,8,1,11.5,8,1
